timestamp_s,relative_exertion,mix,ep_target_weight,sustained_energy
24.332,0.1842,0.9972,1.0000,0.7059
24.382,0.1907,0.9973,1.0000,0.7079
24.432,0.2390,0.9974,1.0000,0.7023
24.482,0.2459,0.9973,0.9944,0.6825
24.532,0.1824,0.9945,0.9177,0.6295
24.582,0.1715,0.9947,0.9997,0.6962
24.632,0.2018,0.9948,1.0000,0.7257
24.682,0.2336,0.9951,1.0000,0.7165
24.732,0.2175,0.9953,1.0000,0.7012
24.783,0.2084,0.9951,0.9892,0.6755
24.834,0.2954,0.9946,0.9861,0.6721
24.884,0.2659,0.9931,0.9418,0.6414
24.935,0.2093,0.9894,0.9633,0.6539
24.985,0.2200,0.9890,0.9753,0.6625
25.035,0.2382,0.9889,0.9858,0.6719
25.085,0.1626,0.9896,1.0000,0.7372
25.136,0.1435,0.9899,1.0000,0.7285
25.186,0.1420,0.9902,1.0000,0.7302
25.236,0.1831,0.9908,1.0000,0.7121
25.287,0.1694,0.9910,1.0000,0.7026
25.341,0.1539,0.9879,0.8895,0.6173
25.391,0.1556,0.9860,0.9224,0.6317
25.441,0.1314,0.9855,0.9695,0.6582
25.491,0.0567,0.9797,0.9287,0.6347
25.543,0.1076,0.9803,0.9999,0.6976
25.595,0.2937,0.9815,1.0000,0.7057
25.646,0.2710,0.9821,1.0000,0.7012
25.696,0.2557,0.9823,0.9914,0.6782
25.746,0.2889,0.9806,0.9462,0.6437
25.796,0.2817,0.9792,0.9321,0.6364
25.849,0.2301,0.9693,0.8319,0.5958
25.899,0.2213,0.9682,0.9335,0.6370
25.949,0.2897,0.9662,0.9010,0.6221
25.999,0.2374,0.9673,1.0000,0.7131
26.050,0.2102,0.9683,1.0000,0.7208
26.102,0.2421,0.9701,1.0000,0.7200
26.152,0.2267,0.9710,1.0000,0.7301
26.202,0.1805,0.9719,1.0000,0.7034
26.253,0.1248,0.9736,1.0000,0.7037
26.303,0.1973,0.9743,0.9994,0.6942
26.352,0.2285,0.9748,0.9744,0.6618
26.403,0.2188,0.9724,0.8940,0.6192
26.453,0.2105,0.9723,0.9690,0.6578
26.503,0.3016,0.9739,1.0000,0.7151
26.553,0.2953,0.9747,1.0000,0.7050
26.603,0.2617,0.9755,1.0000,0.7000
26.653,0.2520,0.9763,0.9840,0.6700
26.703,0.2601,0.9766,0.9876,0.6737
26.754,0.1694,0.9726,0.8510,0.6026
26.804,0.1488,0.9717,0.9417,0.6413
26.854,0.1821,0.9717,0.9704,0.6588
26.904,0.2362,0.9725,0.9999,0.6976
26.954,0.2050,0.9733,1.0000,0.7246
27.004,0.1876,0.9741,1.0000,0.7255
27.054,0.2750,0.9756,1.0000,0.7156
27.104,0.2923,0.9764,1.0000,0.7158
27.154,0.2558,0.9778,1.0000,0.7069
27.204,0.2527,0.9782,0.9922,0.6793
27.254,0.2544,0.9746,0.8586,0.6054
27.304,0.1719,0.9731,0.9707,0.6590
27.354,0.1374,0.9710,0.9011,0.6221
27.407,0.1108,0.9713,0.9841,0.6702
27.454,0.1888,0.9730,1.0000,0.7086
27.504,0.1665,0.9739,1.0000,0.7043
27.554,0.1196,0.9754,1.0000,0.7169
27.604,0.2549,0.9761,1.0000,0.7221
27.654,0.3178,0.9769,1.0000,0.7095
27.705,0.2620,0.9762,0.9345,0.6376
27.755,0.2489,0.9764,0.9844,0.6704
27.805,0.2715,0.9762,0.9498,0.6458
27.855,0.2088,0.9770,1.0000,0.7022
27.905,0.1827,0.9776,1.0000,0.7278
27.957,0.2152,0.9790,1.0000,0.7131
28.007,0.3230,0.9796,1.0000,0.7197
28.057,0.2899,0.9808,1.0000,0.7001
28.107,0.2750,0.9814,1.0000,0.7073
28.157,0.2665,0.9819,1.0000,0.7063
28.208,0.2528,0.9829,0.9967,0.6866
28.258,0.2170,0.9831,0.9881,0.6742
28.308,0.1869,0.9804,0.9792,0.6657
28.358,0.3197,0.9810,1.0000,0.7120
28.408,0.3193,0.9816,1.0000,0.7159
28.458,0.2873,0.9827,1.0000,0.7105
28.508,0.2976,0.9832,1.0000,0.7242
28.561,0.3352,0.9837,1.0000,0.7294
28.608,0.2839,0.9846,0.9998,0.6970
28.658,0.2639,0.9834,0.9419,0.6414
28.709,0.2771,0.9840,0.9963,0.6858
28.760,0.2586,0.9841,0.9884,0.6746
28.813,0.2237,0.9846,1.0000,0.7109
28.860,0.1725,0.9855,1.0000,0.7285
28.910,0.2004,0.9859,1.0000,0.7163
